"","Beer","Brewery","Location","Style","Size","ABV","IBU"
"713","Wonderstuff","Bauhaus Brew Labs","Minneapolis, MN","German Pilsener","12 oz.","5.4%","48"
"714","Sensi Harvest","Sixpoint Craft Ales","Brooklyn, NY","American Pale Ale (APA)","12 oz.","4.7%","50"
"715","Ozark American Pale Ale","Ozark Beer Company","Rogers, AR","American Pale Ale (APA)","12 oz.","4.0%","39"
"716","Saison Pamplemousse","Golden Road Brewing","Los Angeles, CA","Saison / Farmhouse Ale","12 oz.","5.8%","35"
"717","Agent a Deux","Brewery Vivant","Grand Rapids, MI","Belgian Dark Ale","16 oz","6.5%","N/A"
"718","Belgian Wit","Brewery Vivant","Grand Rapids, MI","Witbier","16 oz.","4.5%","N/A"
"719","805 Blonde Ale","Firestone Walker Brewing Company","Paso Robles, CA","American Blonde Ale","12 oz","4.7%","N/A"
"720","Farmer's Daughter Wheat","People's Brewing Company","Lafayette, IN","American Pale Wheat Ale","12 oz.","4.2%","N/A"
"721","Best Brown","Bell's Brewery","Kalamazoo, MI","American Brown Ale","16 oz.","5.8%","N/A"
"722","Ghost Ship White IPA","Capital Brewery","Middleton, WI","American IPA","12 oz.","5.6%","55"
"723","Honey Lav","Blackrocks Brewery","Marquette, MI","American Pale Wheat Ale","12 oz.","5.2%","N/A"
"724","Train Wreck","Mountain Town Brewing Company","Mount Pleasant, MI","American Amber / Red Ale","16 oz","8.2%","N/A"
"725","Upland Wheat Ale","Upland Brewing Company","Bloomington, IN","Witbier","16 oz.","4.5%","15"
"726","Dragonfly IPA","Upland Brewing Company","Bloomington, IN","American IPA","16 oz.","6.0%","N/A"
"727","Pothole Stout","Brewery Vivant","Grand Rapids, MI","American Stout","16 oz.","6.3%","N/A"
"728","30 Min Coma","Sun King Brewing Company","Indianapolis, IN","Belgian IPA","16 oz","???","N/A"
"729","Tree Bucket","Brewery Vivant","Grand Rapids, MI","Belgian IPA","16 oz.","9.3%","N/A"
"730","Overgrown American Pale Ale","Otter Creek Brewing","Waterbury, VT","American Pale Ale (APA)","12 oz.","5.5%","55"
"731","Birdhouse Pale Ale","The Brewer's Art","Baltimore, MD","Belgian Pale Ale","12 oz.","5.0%","N/A"
"732","Incredible Pedal IPA","Denver Beer Company","Denver, CO","American IPA","12 oz.","7.0%","N/A"
"733","Graham Cracker Porter","Denver Beer Company","Denver, CO","American Porter","12 oz.","5.0%","N/A"
"734","Rudie Session IPA","Ska Brewing Company","Durango, CO","American IPA","12 oz.","4.5%","N/A"
"735","Monkey Chased the Weasel","Carton Brewing Company","Atlantic Highlands, NJ","Berliner Weissbier","16 oz.","3.9%","9"
"736","077XX","Carton Brewing Company","Atlantic Highlands, NJ","American Double / Imperial IPA","16 oz.","7.8%","80"
"737","Gatecrasher","Temperance Beer Company","Evanston, IL","English India Pale Ale (IPA)","12 oz.","6.6%","N/A"
"738","Almanac IPA","Tractor Brewing Company","Albuquerque, NM","American IPA","12 oz.","6.2%","72"
"739","Milk Mustachio Stout","Tractor Brewing Company","Albuquerque, NM","Milk / Sweet Stout","12 oz.","6.5%","N/A"
"740","Farmer's Tan Red Ale","Tractor Brewing Company","Albuquerque, NM","American Amber / Red Ale","12 oz.","6.0%","30"
"741","Zen","Rhinegeist Brewery","Cincinnati, OH","American Pale Ale (APA)","12 oz.","4.3%","45"
"742","SunSpot Golden Ale","SanTan Brewing Company","Chandler, AZ","American Blonde Ale","12 oz.","5.0%","15"
"743","Missile IPA","Champion Brewing Company","Charlottesville, VA","American IPA","12 oz.","7.0%","65"
"744","Thai Style White IPA","Upslope Brewing Company","Boulder, CO","American White IPA","12 oz.","6.5%","33"
"745","Fresh Cut Pilsner","Peak Organic Brewing Company","Portland, ME","American Pilsner","12 oz.","4.6%","N/A"
"746","Summer Session Ale","Peak Organic Brewing Company","Portland, ME","American Pale Wheat Ale","12 oz.","5.0%","61"
"747","Second Fiddle","Fiddlehead Brewing Company","Shelburne, VT","American Double / Imperial IPA","16 oz.","8.2%","80"
"748","Cape Cod Red","Cape Cod Beer","Hyannis, MA","American Amber / Red Ale","16 oz.","5.5%","35"
"749","Beach Blonde","Cape Cod Beer","Hyannis, MA","American Blonde Ale","16 oz.","4.9%","10"
"750","Long Trail IPA","Long Trail Brewing Company","Bridgewater Corners,VT","English India Pale Ale (IPA)","12 oz.","5.9%","42"
"751","Trader Session IPA","Uinta Brewing Company","Salt Lake City, UT","American IPA","12 oz.","4.0%","42"
"752","Long Trail Ale","Long Trail Brewing Company","Bridgewater Corners,VT","American Amber / Red Ale","12 oz.","4.6%","30"
"753","Commotion APA","Great Raft Brewing Company","Shreveport, LA","American Pale Ale (APA)","12 oz.","5.2%","49"
"754","Southern Drawl Pale Lager","Great Raft Brewing Company","Shreveport, LA","American Pale Lager","12 oz.","5.2%","N/A"
"755","Freeride APA","Alaskan Brewing Company","Juneau, AK","American Pale Ale (APA)","12 oz.","5.3%","40"
"756","Alaskan Amber","Alaskan Brewing Company","Juneau, AK","Altbier","12 oz.","5.3%","18"
"757","Yonder Bock","Sierra Nevada Brewing Company","Chico, CA","Maibock / Helles Bock","12 oz.","6.0%","N/A"
"758","CANfusion Rye Bock","Sierra Nevada Brewing Company","Chico, CA","Rye Beer","12 oz.","6.0%","N/A"
"759","Left of the Dial IPA","Notch Brewing Company","Ipswich, MA","American IPA","12 oz.","4.3%","N/A"
"760","Petit Mutant","The Alchemist","Waterbury, VT","American Wild Ale","16 oz.","6.0%","N/A"
"761","The Crusher","The Alchemist","Waterbury, VT","American Double / Imperial IPA","16 oz.","9.6%","N/A"
"762","Beelzebub","The Alchemist","Waterbury, VT","American Double / Imperial Stout","16 oz.","8.0%","N/A"
"763","Hydraulion Red","Three Notch'd Brewing Company","Charlottesville, VA","Irish Red Ale","12 oz.","5.3%","22"
"764","40 Mile IPA","Three Notch'd Brewing Company","Charlottesville, VA","American IPA","12 oz.","6.0%","50"
"765","Suicide Squeeze IPA","Fort George Brewery","Astoria, OR","American IPA","16 oz.","4.5%","N/A"
"766","Lake House","Capital Brewery","Middleton, WI","Munich Helles Lager","16 oz.","4.6%","18"
"767","Big Chuck Barleywine","Portside Brewery","Cleveland, OH","American Barleywine","12 oz.","9.9%","N/A"
"768","Fresh Slice White IPA","Otter Creek Brewing","Middlebury, VT","American White IPA","12 oz.","5.5%","45"
"769","Montauk Summer Ale","Montauk Brewing Company","Montauk, NY","American Blonde Ale","12 oz.","5.6%","28"
"770","Driftwood Ale","Montauk Brewing Company","Montauk, NY","Extra Special / Strong Bitter (ESB)","12 oz.","6.0%","49"
"771","Sierra Nevada Pale Ale","Sierra Nevada Brewing Company","Chico, CA","American Pale Ale (APA)","16 oz.","5.6%","37"
"772","White Rabbit","Independence Brewing Company","Austin, TX","Witbier","12 oz.","5.9%","27"
"773","Let It Ride IPA","Indeed Brewing Company","Minneapolis, MN","American IPA","12 oz.","6.8%","90"
"774","14° ESB","Bent Paddle Brewing Company","Duluth, MN","Extra Special / Strong Bitter (ESB)","12 oz.","5.6%","32"
"775","Bent Hop Golden IPA","Bent Paddle Brewing Company","Duluth, MN","American IPA","12 oz.","6.2%","68"
"776","Lost Sailor IPA","Berkshire Brewing Company","South Deerfield, MA","English India Pale Ale (IPA)","12 oz.","5.5%","40"
"777","La Ferme Urbaine Farmhouse Ale","Foolproof Brewing Company","Pawtucket, RI","Saison / Farmhouse Ale","12 oz.","7.8%","N/A"
"778","Blackmarket Rye IPA","Black Market Brewing Company","Temecula, CA","American IPA","12 oz.","7.5%","35"
"779","Black Market Hefeweizen","Black Market Brewing Company","Temecula, CA","Hefeweizen","12 oz.","5.0%","8"
"780","Aftermath Pale Ale","Black Market Brewing Company","Temecula, CA","American Pale Ale (APA)","12 oz.","5.8%","44"
"781","Groupe G","Headlands Brewing Company","Mill Valley, CA","Belgian IPA","16 oz.","7.6%","65"
"782","Pt. Bonita Rustic Lager","Headlands Brewing Company","Mill Valley, CA","American Pale Lager","16 oz.","6.2%","40"
"783","Hill 88 Double IPA","Headlands Brewing Company","Mill Valley, CA","American Double / Imperial IPA","16 oz.","8.8%","77"
"784","Longhop IPA","Bolero Snort Brewery","Ridgefield Park, NJ","American IPA","16 oz.","4.2%","30"
"785","Lucky Buck","Bolero Snort Brewery","Ridgefield Park, NJ","Irish Dry Stout","16 oz.","4.0%","34"
"786","Leatherhead Red","Thunderhead Brewing Company","Kearney, NE","American Amber / Red Ale","12 oz.","5.2%","N/A"
"787","Hoperation Overload","Destihl Brewery","Bloomington, IL","American Double / Imperial IPA","12 oz.","9.6%","85"
"788","Abbey's Single Ale (Current)","Destihl Brewery","Bloomington, IL","Abbey Single Ale","12 oz.","4.9%","22"
"789","Thrasher Session India Pale Ale","Defiance Brewing Company","Hays, KS","American IPA","12 oz.","4.5%","44"
"790","Gutch English Style Mild Ale","Defiance Brewing Company","Hays, KS","English Pale Mild Ale","12 oz.","5.0%","16"
"791","Hop Freak","Milwaukee Brewing Company","Milwaukee, WI","American Double / Imperial IPA","16 oz.","8.7%","80"
"792","Centennial State Pale Ale","Oskar Blues Brewery","Longmont, CO","American Pale Ale (APA)","19.2","5.2%","N/A"
"793","Whitecap Wit","Catawba Island Brewing","Port Clinton, OH","Witbier","16 oz.","4.8%","16"
"794","Seiche Scottish Ale","Catawba Island Brewing","Port Clinton, OH","Scottish Ale","16 oz.","7.8%","16"
"795","All Aboard! Anniversary Stout","Rivertowne Brewing Company","Export, PA","Oatmeal Stout","12 oz.","7.1%","N/A"
"796","Hop Lace","Rivertowne Brewing Company","Export, PA","American White IPA","12 oz.","6.2%","N/A"
"797","OH-PA Session Pale Ale","Rivertowne Brewing Company","Export, PA","American Pale Ale (APA)","12 oz.","4.8%","N/A"
"798","Patrick's Poison","Rivertowne Brewing Company","Export, PA","American Amber / Red Ale","12 oz.","8.0%","N/A"
"799","Truck Stop Honey Brown Ale","Back Forty Beer Company","Gadsden, AL","English Brown Ale","12 oz.","6.0%","N/A"
"800","Naked Pig Pale Ale","Back Forty Beer Company","Gadsden, AL","American Pale Ale (APA)","12 oz.","6.0%","43"
"801","El Chingon IPA","Four Corners Brewing Company","Dallas, TX","American IPA","12 oz.","7.6%","73"
"802","Block Party Robust Porter","Four Corners Brewing Company","Dallas, TX","American Porter","12 oz.","5.7%","40"
"803","Local Buzz","Four Corners Brewing Company","Dallas, TX","American Blonde Ale","12 oz.","5.2%","20"
"804","Contact High","4 Hands Brewing Company","Saint Louis, MO","American Pale Wheat Ale","12 oz.","5.0%","28"
"805","Saint Archer White Ale","Saint Archer Brewery","San Diego, CA","Witbier","12 oz.","5.0%","15"
"806","Saint Archer IPA","Saint Archer Brewery","San Diego, CA","American IPA","12 oz.","6.8%","66"
"807","Saint Archer Pale Ale","Saint Archer Brewery","San Diego, CA","American Pale Ale (APA)","12 oz.","5.2%","40"
"808","Saint Archer Blonde","Saint Archer Brewery","San Diego, CA","Kölsch","12 oz.","4.8%","22"
"809","BLAKKR","Real Ale Brewing Company","Blanco, TX","American Black Ale","12 oz.","9.9%","85"
"810","Rogue American Amber Ale","Rogue Ales","Newport, OR","American Amber / Red Ale","16 oz.","5.1%","N/A"
"811","Old Chub NITRO","Oskar Blues Brewery","Longmont, CO","Scotch Ale / Wee Heavy","16 oz.","8.0%","N/A"
"812","Hodad Porter","Fiddlehead Brewing Company","Shelburne, VT","American Porter","16 oz.","5.5%","30"
"813","Supergoose IPA","Hale's Ales","Seattle, WA","American IPA","12 oz.","6.9%","67"
"814","IPA & a Half","Tommyknocker Brewery","Idaho Springs, CO","American IPA","12 oz.","7.3%","87"
"815","Tarnation California-Style Lager","Baxter Brewing Company","Lewiston, ME","California Common / Steam Beer","12 oz.","5.3%","N/A"
"816","Blue Boots IPA","Northampton Brewery","Northamtpon, MA","American IPA","16 oz.","6.9%","N/A"
"817","Ferus Fluxus Wild Belgian Pale Ale","Upslope Brewing Company","Boulder, CO","American Wild Ale","19.2 oz.","7.5%","30"
"818","Truth","Rhinegeist Brewery","Cincinnati, OH","American IPA","12 oz.","7.2%","75"
"819","Cougar","Rhinegeist Brewery","Cincinnati, OH","American Blonde Ale","12 oz.","4.8%","25"
"820","American India Red Ale","Black Shirt Brewing Company","Denver, CO","American Strong Ale","12 oz.","7.1%","83"
"821","American Red Porter","Black Shirt Brewing Company","Denver, CO","American Porter","12 oz.","7.1%","45"
"822","American Red Saison","Black Shirt Brewing Company","Denver, CO","Saison / Farmhouse Ale","12 oz.","7.8%","34"
"823","Colorado Red Ale","Black Shirt Brewing Company","Denver, CO","American Amber / Red Ale","12 oz.","6.6%","44"
"824","Wachusett Light IPA","Wachusett Brewing Company","Westminster, MA","American IPA","12 oz.","4.0%","37"
"825","Green Monsta IPA","Wachusett Brewing Company","Westminster, MA","American IPA","12 oz.","6.0%","55"
"826","Wachusett IPA","Wachusett Brewing Company","Westminster, MA","American IPA","12 oz.","5.6%","50"
"827","Strawberry White","Wachusett Brewing Company","Westminster, MA","Witbier","12 oz.","4.7%","N/A"
"828","Original Slacker Ale","Round Guys Brewing","Lansdale, PA","English Brown Ale","12 oz.","5.6%","40"
"829","Alpha Blackback","Round Guys Brewing","Lansdale, PA","American Black Ale","12 oz.","7.2%","N/A"
"830","Chin Music Amber Lager","Center of the Universe Brewing C...","Ashland, VA","American Amber / Red Lager","12 oz.","4.5%","24"
"831","Hefe Lemon","Widmer Brothers Brewing Company","Portland, OR","Radler","12 oz.","4.9%","30"
"832","Hefe Black","Widmer Brothers Brewing Company","Portland, OR","Hefeweizen","12 oz.","4.9%","30"
"833","Widmer Brothers Hefeweizen","Widmer Brothers Brewing Company","Portland, OR","Hefeweizen","12 oz.","4.9%","30"
"834","Provision","Hop Farm Brewing Company","Pittsburgh, PA","Saison / Farmhouse Ale","12 oz.","4.2%","25"
"835","One Nut Brown","Hop Farm Brewing Company","Pittsburgh, PA","American Brown Ale","12 oz.","4.7%","28"
"836","Hop Farm IPA","Hop Farm Brewing Company","Pittsburgh, PA","American IPA","12 oz.","5.8%","45"
"837","Adam's Stout","Liquid Hero Brewery","York, PA","American Stout","12 oz.","5.8%","40"
"838","Our Legacy IPA","Matt Brewing Company","Utica, NY","American IPA","12 oz.","6.5%","60"
"839","Porch Rocker","Boston Beer Company","Boston, MA","Radler","12 oz.","4.5%","8"
"840","312 Urban Wheat Ale","Goose Island Brewing Company","Chicago, IL","American Pale Wheat Ale","12 oz.","4.2%","18"
"841","Hopsmith Pale Lager","Old Forge Brewing Company","Danville, PA","American Pale Lager","16 oz.","6.0%","N/A"
"842","Deep Ellum Pale Ale","Deep Ellum Brewing Company","Dallas, TX","American Pale Ale (APA)","12 oz.","6.0%","N/A"
"843","Squatters Full Suspension Pale Ale","Utah Brewers Cooperative","Salt Lake City, UT","American Pale Ale (APA)","12 oz.","4.0%","N/A"
"844","Squatters Hop Rising Double IPA","Utah Brewers Cooperative","Salt Lake City, UT","American Double / Imperial IPA","12 oz.","9.0%","75"
"845","Devastator Double Bock","Utah Brewers Cooperative","Salt Lake City, UT","Doppelbock","12 oz.","8.0%","N/A"
"846","Wasatch Ghostrider White IPA","Utah Brewers Cooperative","Salt Lake City, UT","American White IPA","12 oz.","6.0%","N/A"
"847","Bitter Biker Double IPA","Spiteful Brewing Company","Chicago, IL","American Double / Imperial IPA","12 oz.","9.6%","N/A"
"848","Ghost Bike Pale Ale","Spiteful Brewing Company","Chicago, IL","American Pale Ale (APA)","16 oz.","7.3%","N/A"
"849","Spiteful IPA","Spiteful Brewing Company","Chicago, IL","American IPA","12 oz.","6.2%","N/A"
"850","Keebarlin' Pale Ale","Anderson Valley Brewing Company","Boonville, CA","American Pale Ale (APA)","12 oz.","4.2%","N/A"
"851","Klingon Warnog Roggen Dunkel","Tin Man Brewing Company","Evansville, IN","Roggenbier","16 oz.","5.5%","N/A"
"852","LIFT","Madtree Brewing Company","Cincinnati, OH","Kölsch","12 oz.","4.7%","11"
"853","SPRYE","Madtree Brewing Company","Cincinnati, OH","American Pale Ale (APA)","12 oz.","5.0%","40"
"854","Pleasure Town IPA","Midnight Sun Brewing Company","Anchorage, AK","American IPA","12 oz.","6.3%","61"
"855","#9","Magic Hat Brewing Company","South Burlington, VT","Fruit / Vegetable Beer","16 oz.","5.1%","20"
"856","Quarter Mile Double IPA","Blue Hills Brewery","Canton, MA","American Double / Imperial IPA","12 oz.","8.0%","80"
"857","Marblehead","Night Shift Brewing","Everett, MA","American Amber / Red Ale","16 oz.","5.5%","N/A"
"858","Focal Banger","The Alchemist","Waterbury, VT","American IPA","16 oz.","7.0%","N/A"
"859","The Tradition","DC Brau Brewing Company","Washington, DC","American Blonde Ale","12 oz.","5.0%","15"
"860","Pilot Rock Porter","Caldera Brewing Company","Ashland, OR","American Porter","12 oz.","6.0%","N/A"
"861","Maine Island Trail Ale","Rising Tide Brewing Company","Portland, ME","American Pale Ale (APA)","16 oz.","4.3%","N/A"
"862","Hoptopus Double IPA","Beach Brewing Company","Virginia Beach, VA","American Double / Imperial IPA","16 oz.","8.8%","108"
"863","Rodeo Rye Pale Ale","Payette Brewing Company","Garden City, ID","American Pale Ale (APA)","12 oz.","4.2%","35"
"864","Mjöllnir","Crow Peak Brewing Company","Spearfish, SD","Herbed / Spiced Beer","12 oz.","6.6%","N/A"
"865","Java the Hop","Fort George Brewery","Astoria, OR","American IPA","16 oz.","6.5%","N/A"
"866","You're My Boy, Blue","Brew Bus Brewing","Tampa, FL","Fruit / Vegetable Beer","12 oz.","5.0%","N/A"
"867","Last Stop IPA","Brew Bus Brewing","Tampa, FL","American IPA","12 oz.","7.2%","60"
"868","Rollin Dirty Red Ale","Brew Bus Brewing","Tampa, FL","Irish Red Ale","12 oz.","5.0%","21"
"869","Are Wheat There Yet?","Brew Bus Brewing","Tampa, FL","American Pale Wheat Ale","12 oz.","5.5%","28"
"870","Thanksgiving Ale","Sockeye Brewing Company","Boise, ID","Kölsch","12 oz.","5.0%","N/A"
"871","Black Bay Milk Stout","Pine Street Brewery","San Francisco, CA","Milk / Sweet Stout","12 oz.","5.0%","N/A"
"872","The CROWLER™","Oskar Blues Brewery","Longmont, CO"," ","32 oz.","???","N/A"
"873","Filthy Hoppin' IPA","Dirty Bucket Brewing Company","Woodinville, WA","American IPA","16 oz.","6.5%","72"
"874","People's Pilsner","People's Brewing Company","Lafayette, IN","German Pilsener","12 oz.","4.5%","N/A"
"875","Thunder Ann","Jackalope Brewing Company","Nashville, TN","American Pale Ale (APA)","12 oz.","5.5%","37"
"876","Iron Butt Red Ale","Slanted Rock Brewing Company","Meridian, ID","American Amber / Red Ale","12 oz.","5.8%","39"
"877","Hot Date Ale","Piney River Brewing Company","Bucryus, MO","Chile Beer","16 oz.","6.0%","20"
"878","CAN'D AID Foundation","Oskar Blues Brewery","Longmont, CO"," ","12 oz.","???","N/A"
"879","Lost River Blonde Ale","Cutters Brewing Company","Avon, IN","American Blonde Ale","16 oz.","4.9%","N/A"
